order,Model,Epochs,Learning Rate,Batch Size,num_views,Train Dataset,test_dataset,loss,rGL,rOI,average_inference_time,mAP,ndcg@100,anmrr
2,MV_AlexNet,66,1e-06,8,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.5,0.5,0.0042,0.3344,0.3513,0.6669
1,MV_AlexNet,66,1e-06,4,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.5,0.5,0.0042,0.3143,0.3385,0.6838
3,MV_AlexNet,66,1e-06,16,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.5,0.5,0.0043,0.3312,0.3582,0.6617
31,MV_AlexNet,66,1e-06,16,4,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0047,0.2939,0.3261,0.7087
49,MV_AlexNet,66,1e-06,16,12,OS-ABO-core,OS-MN40-core,TripleLoss,0.8,0.8,0.0032,0.3160,0.4418,0.6692
6,MV_AlexNet,66,0.0001,16,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0041,0.2770,0.3113,0.7249
9,MV_AlexNet,66,1e-06,16,12,OS-ESB-core,OS-ESB-core,TripleLoss,0.8,0.8,0.0032,0.3425,0.1714,0.6752
10,MV_AlexNet,66,1e-06,16,12,OS-NTU-core,OS-NTU-core,TripleLoss,0.8,0.8,0.0024,0.2364,0.1445,0.7659
7,MV_AlexNet,66,1e-05,16,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0031,0.3093,0.3648,0.6881
8,MV_AlexNet,66,1e-07,16,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0032,0.3381,0.3901,0.6532
11,MV_AlexNet,66,1e-06,16,12,OS-MN40-core,OS-MN40-core,TripleLoss,0.8,0.8,0.0021,0.3251,0.4513,0.6606
14,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0030,0.3981,0.4528,0.5954
13,MV_AlexNet_dis_Pre,66,1e-06,8,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0031,0.3983,0.4580,0.5935
12,MV_AlexNet_dis_Pre,66,1e-06,4,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0031,0.3908,0.4489,0.6030
17,MV_AlexNet_dis_Pre,66,0.0001,16,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0040,0.3569,0.4401,0.6298
19,MV_AlexNet_dis_Pre,66,1e-07,16,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0041,0.3964,0.4565,0.5989
18,MV_AlexNet_dis_Pre,66,1e-05,16,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0040,0.3960,0.4552,0.5956
20,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-ESB-core,OS-ESB-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0027,0.3801,0.1826,0.6226
21,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-NTU-core,OS-NTU-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0020,0.2891,0.1646,0.7074
22,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-MN40-core,OS-MN40-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0025,0.4334,0.5687,0.5637
24,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-ESB-core,OS-ESB-core,RelationDisLoss,0.8,0.8,0.0028,0.3772,0.1806,0.6288
25,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-NTU-core,OS-NTU-core,RelationDisLoss,0.8,0.8,0.0020,0.2918,0.1655,0.7113
23,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-ABO-core,OS-ABO-core,RelationDisLoss,0.8,0.8,0.0028,0.3948,0.4492,0.5974
26,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-MN40-core,OS-MN40-core,RelationDisLoss,0.8,0.8,0.0021,0.4377,0.5760,0.5567
37,MV_AlexNet_dis_Pre,66,1e-06,16,4,OS-ESB-core,OS-ESB-core,RelationDisLoss,0.8,0.8,0.0020,0.3539,0.1726,0.6637
38,MV_AlexNet_dis_Pre,66,1e-06,16,4,OS-NTU-core,OS-NTU-core,RelationDisLoss,0.8,0.8,0.0015,0.2566,0.1492,0.7400
36,MV_AlexNet_dis_Pre,66,1e-06,16,4,OS-ABO-core,OS-ABO-core,RelationDisLoss,0.8,0.8,0.0027,0.3757,0.4143,0.6214
39,MV_AlexNet_dis_Pre,66,1e-06,16,4,OS-MN40-core,OS-MN40-core,RelationDisLoss,0.8,0.8,0.0020,0.3809,0.5075,0.6126
46,MV_AlexNet,66,1e-06,16,4,OS-ESB-core,OS-ESB-core,TripleLoss,0.8,0.8,0.0036,0.3011,0.1591,0.7210
47,MV_AlexNet,66,1e-06,16,4,OS-NTU-core,OS-NTU-core,TripleLoss,0.8,0.8,0.0029,0.2216,0.1340,0.7799
48,MV_AlexNet,66,1e-06,16,4,OS-MN40-core,OS-MN40-core,TripleLoss,0.8,0.8,0.0034,0.3039,0.4283,0.6822
33,MV_AlexNet_dis_Pre,66,1e-06,16,4,OS-ESB-core,OS-ESB-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0029,0.3353,0.1654,0.6782
34,MV_AlexNet_dis_Pre,66,1e-06,16,4,OS-NTU-core,OS-NTU-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0022,0.2481,0.1455,0.7431
32,MV_AlexNet_dis_Pre,66,1e-06,16,4,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0043,0.3677,0.4093,0.6236
35,MV_AlexNet_dis_Pre,66,1e-06,16,4,OS-MN40-core,OS-MN40-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0030,0.3958,0.5284,0.6002
27,MV_CLIP_without_adpter,66,1e-06,16,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0266,0.4236,0.4628,0.5750
28,MV_CLIP_without_adpter,66,1e-06,16,12,OS-ESB-core,OS-ESB-core,TripleLoss,0.8,0.8,0.0254,0.4517,0.2047,0.5711
29,MV_CLIP_without_adpter,66,1e-06,16,12,OS-NTU-core,OS-NTU-core,TripleLoss,0.8,0.8,0.0159,0.4014,0.2076,0.6097
50,MV_AlexNet,66,1e-06,16,12,OS-MN40-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0046,0.3482,0.3913,0.6511
45,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-MN40-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0038,0.4004,0.4580,0.5938
44,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-ABO-core,OS-MN40-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0028,0.4293,0.5699,0.5629
40,MV_CLIP_without_adpter,66,1e-06,16,4,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0168,0.4038,0.4326,0.5965
41,MV_CLIP_without_adpter,66,1e-06,16,4,OS-ESB-core,OS-ESB-core,TripleLoss,0.8,0.8,0.0167,0.4099,0.1922,0.6209
42,MV_CLIP_without_adpter,66,1e-06,16,4,OS-NTU-core,OS-NTU-core,TripleLoss,0.8,0.8,0.0102,0.3646,0.1917,0.6426
43,MV_CLIP_without_adpter,66,1e-06,16,4,OS-MN40-core,OS-MN40-core,TripleLoss,0.8,0.8,0.0145,0.4048,0.5418,0.5916
15,MV_AlexNet_dis_Pre,66,1e-06,32,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0039,0.3882,0.4383,0.6048
30,MV_CLIP_without_adpter,66,1e-06,16,12,OS-MN40-core,OS-MN40-core,TripleLoss,0.8,0.8,0.0124,0.4501,0.5945,0.5458
