Model,Epochs,Learning Rate,Batch Size,num_views,Train Dataset,test_dataset,Top-1 Accuracy,Top-10 Accuracy,mAP

MVCNN_CLIP,14,1e-06,8,12,OS-MN40-core,OS-MN40-core,0.8125,0.9500,0.7017
MV_AlexNet,14,1e-06,8,12,OS-MN40-core,OS-MN40-core,0.6875,0.8750,0.5873
MV_AlexNet_dis_Pre,14,1e-06,8,12,OS-MN40-core,OS-MN40-core,0.7688,0.9250,0.6824
MVCNN_CLIP,14,1e-06,8,1,OS-MN40-core,OS-MN40-core,0.4500,0.6937,0.4303
MV_AlexNet,14,1e-06,8,1,OS-MN40-core,OS-MN40-core,0.3375,0.6625,0.3430
MV_AlexNet_dis_Pre,14,1e-06,8,1,OS-MN40-core,OS-MN40-core,0.4562,0.7250,0.4167

MVCNN_CLIP,14,1e-06,8,12,OS-ESB-core,OS-ESB-core,0.7583,0.9167,0.5209
MV_AlexNet,14,1e-06,8,12,OS-ESB-core,OS-ESB-core,0.6917,0.9083,0.4822
MV_AlexNet_dis_Pre,14,1e-06,8,12,OS-ESB-core,OS-ESB-core,0.7500,0.8917,0.5306
MVCNN_CLIP,14,1e-06,8,1,OS-ESB-core,OS-ESB-core,0.3000,0.6083,0.2667
MV_AlexNet,14,1e-06,8,1,OS-ESB-core,OS-ESB-core,0.3333,0.6417,0.2709
MV_AlexNet_dis_Pre,14,1e-06,8,1,OS-ESB-core,OS-ESB-core,0.4750,0.7500,0.3622

MVCNN_CLIP,14,1e-06,8,12,OS-NTU-core,OS-NTU-core,0.7037,0.8370,0.5081
MV_AlexNet,14,1e-06,8,12,OS-NTU-core,OS-NTU-core,0.5296,0.7630,0.3743
MV_AlexNet_dis_Pre,14,1e-06,8,12,OS-NTU-core,OS-NTU-core,0.5741,0.7963,0.4420
MVCNN_CLIP,14,1e-06,8,1,OS-NTU-core,OS-NTU-core,0.4185,0.7593,0.3470
MV_AlexNet,14,1e-06,8,1,OS-NTU-core,OS-NTU-core,0.1778,0.4963,0.1977
MV_AlexNet_dis_Pre,14,1e-06,8,1,OS-NTU-core,OS-NTU-core,0.2407,0.4963,0.2235

MVCNN_CLIP,14,1e-06,8,12,OS-ABO-core,OS-ABO-core,0.8235,0.9529,0.6919
MV_AlexNet,14,1e-06,8,12,OS-ABO-core,OS-ABO-core,0.7176,0.8941,0.5833
MV_AlexNet_dis_Pre,14,1e-06,8,12,OS-ABO-core,OS-ABO-core,0.8118,0.9412,0.6875
