Model,Epochs,Learning Rate,Batch Size,num_views,test_dataset,Top-1 Accuracy,Top-10 Accuracy,mAP

MVCNN_CLIP,3,1e-06,8,15,DS,0.7400,0.9488,0.8142
MVCNN_CLIP,3,1e-06,8,15,DU,0.6483,0.8847,0.7301
MV_AlexNet,19,1e-06,8,15,DS,0.6560,0.9378,0.7547
MV_AlexNet,19,1e-06,8,15,DU,0.5430,0.8605,0.6502
MV_AlexNet_dis_Pre,19,1e-06,8,15,DS,0.3382,0.6443,0.4392
MV_AlexNet_dis_Pre,19,1e-06,8,15,DU,0.3079,0.5593,0.3890

MVCNN_CLIP,3,1e-06,8,3,DS,0.2635,0.5896,0.3710
MVCNN_CLIP,3,1e-06,8,3,DU,0.2334,0.5014,0.3229
MV_AlexNet,19,1e-06,8,3,DS,0.2971,0.6703,0.4185
MV_AlexNet,19,1e-06,8,3,DU,0.2449,0.5372,0.3414
MV_AlexNet_dis_Pre,19,1e-06,8,3,DS,0.1392,0.3450,0.2081
MV_AlexNet_dis_Pre,19,1e-06,8,3,DU,0.1262,0.2840,0.1810


MVCNN_CLIP,3,1e-06,8,3,DS,0.2596,0.5911,0.3634
MVCNN_CLIP,3,1e-06,8,3,DU,0.2306,0.4929,0.3203
MV_AlexNet,19,1e-06,8,3,DS,0.3034,0.6529,0.4162
MV_AlexNet,19,1e-06,8,3,DU,0.2414,0.5405,0.3410
MV_AlexNet_dis_Pre,19,1e-06,8,3,DS,0.1540,0.3589,0.2223
MV_AlexNet_dis_Pre,19,1e-06,8,3,DU,0.1236,0.2907,0.1783

MVCNN_CLIP,3,1e-06,8,10,DS,0.7475,0.9547,0.8239
MVCNN_CLIP,3,1e-06,8,5,DS,0.5489,0.8608,0.6565
MVCNN_CLIP,3,1e-06,8,30,DS,0.7936,0.9703,0.8582

MV_AlexNet,19,1e-06,8,5,DS,0.5356,0.8382,0.6399
MV_AlexNet,19,1e-06,8,10,DS,0.6544,0.9398,0.7532
MV_AlexNet,19,1e-06,8,30,DS,0.7162,0.9586,0.8048

MV_AlexNet_dis_Pre,19,1e-06,8,5,DS,0.2791,0.5661,0.3734
MV_AlexNet_dis_Pre,19,1e-06,8,10,DS,0.3745,0.6677,0.4729
MV_AlexNet_dis_Pre,19,1e-06,8,30,DS,0.4003,0.6873,0.4996


MV_AlexNet_dis_Pre,19,1e-06,8,10,DS,0.3901,0.6802,0.4859
MV_AlexNet_dis_Pre,19,1e-06,8,10,DS,0.8514,0.9789,0.9000
MV_AlexNet_dis_Pre,19,1e-06,8,15,DS,0.8030,0.9648,0.8596
MV_AlexNet_dis_Pre,19,1e-06,8,15,DU,0.7335,0.9265,0.7997

MV_AlexNet_dis_Pre,19,1e-06,8,1,DS,0.2150,0.4683,0.3006
MV_AlexNet_dis_Pre,19,1e-06,8,3,DS,0.3534,0.6669,0.4594
MV_AlexNet_dis_Pre,19,1e-06,8,5,DS,0.6951,0.9249,0.7737
MV_AlexNet_dis_Pre,19,1e-06,8,30,DS,0.9242,0.9969,0.9533

MV_AlexNet_dis_Pre,19,1e-06,8,1,DS,0.1994,0.4300,0.2734
MV_AlexNet_dis_Pre,19,1e-06,8,12,DS,0.6802,0.9171,0.7613



MV_AlexNet_dis_Pre,19,1e-06,8,1,DS,0.5250,0.8250,0.3471
MV_AlexNet,19,1e-06,8,1,DS,0.4500,0.7750,0.3831
MVCNN_CLIP,3,1e-06,8,1,DS,0.5125,0.8375,0.4128

MVCNN_CLIP,3,1e-06,8,15,DS,0.9500,1.0000,0.6700
MV_AlexNet,19,1e-06,8,15,DS,0.9250,1.0000,0.6665
MV_AlexNet_dis_Pre,19,1e-06,8,15,DS,0.9500,1.0000,0.6099


MVCNN_CLIP,14,1e-06,8,12,OS-MN40-core,OS-MN40-core,0.8250,0.9313,0.7107
